Open Palm,openPalm,0
Closed Palm,closedPalm,1
Fist,fist,2
Index Finger,index,3
Index Anular Open,indexAnularOpen,4
Index Anular Closed,indexAnularClosed,5
Thumb Index Anular Open,thumbIndexAnularOpen,6
Gun,gun,7
